Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)
1	Waveform 1	1	43.891642900	44.313562411	0.000	13193.700
1	Spectrogram 1	1	43.891642900	44.313562411	0.000	13193.700
4	Waveform 1	1	241.671884749	241.920996801	0.000	7796.200
4	Spectrogram 1	1	241.671884749	241.920996801	0.000	7796.200
6	Waveform 1	1	44.522109561	44.764909288	0.000	12734.694
6	Spectrogram 1	1	44.522109561	44.764909288	0.000	12734.694
7	Waveform 1	1	44.766496214	45.182270909	0.000	8081.633
7	Spectrogram 1	1	44.766496214	45.182270909	0.000	8081.633
8	Waveform 1	1	188.855097173	189.209689103	0.000	10653.061
8	Spectrogram 1	1	188.855097173	189.209689103	0.000	10653.061
