Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)
16	Waveform 1	1	44.642132485	44.814939944	1039.400	10677.200
16	Spectrogram 1	1	44.642132485	44.814939944	1039.400	10677.200
32	Waveform 1	1	12.516550081	13.177693599	0.000	7764.706
32	Spectrogram 1	1	12.516550081	13.177693599	0.000	7764.706
97	Waveform 1	1	166.279313878	166.555756929	0.000	8336.842
97	Spectrogram 1	1	166.279313878	166.555756929	0.000	8336.842
99	Waveform 1	1	234.675746575	235.297821691	0.000	20872.964
99	Spectrogram 1	1	234.675746575	235.297821691	0.000	20872.964
100	Waveform 1	1	239.219209119	239.568332909	0.000	14306.189
100	Spectrogram 1	1	239.219209119	239.568332909	0.000	14306.189
