Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)
1	Waveform 1	1	27.904013752	28.186486636	0.000	15412.800
1	Spectrogram 1	1	27.904013752	28.186486636	0.000	15412.800
2	Waveform 1	1	265.026840870	265.817130175	0.000	13761.500
2	Spectrogram 1	1	265.026840870	265.817130175	0.000	13761.500
3	Waveform 1	1	263.760473670	264.144509838	0.000	7156.000
3	Spectrogram 1	1	263.760473670	264.144509838	0.000	7156.000
5	Waveform 1	1	266.169427486	266.426509549	0.000	5834.900
5	Spectrogram 1	1	266.169427486	266.426509549	0.000	5834.900
6	Waveform 1	1	276.577256748	276.780383317	0.000	8587.200
6	Spectrogram 1	1	276.577256748	276.780383317	0.000	8587.200
