Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)
1	Waveform 1	1	10.806444253	11.135296853	0.000	24000.000
1	Spectrogram 1	1	10.806444253	11.135296853	0.000	24000.000
2	Waveform 1	1	189.465081541	189.676620030	0.000	6164.384
2	Spectrogram 1	1	189.465081541	189.676620030	0.000	6164.384
3	Waveform 1	1	212.538125001	213.099188181	0.000	11878.000
3	Spectrogram 1	1	212.538125001	213.099188181	0.000	11878.000
6	Waveform 1	1	170.852407920	171.153137784	0.000	7890.411
6	Spectrogram 1	1	170.852407920	171.153137784	0.000	7890.411
7	Waveform 1	1	171.833146357	172.831838817	0.000	9623.188
7	Spectrogram 1	1	171.833146357	172.831838817	0.000	9623.188
