Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)
1	Waveform 1	1	172.077353014	172.595775391	0.000	8039.400
1	Spectrogram 1	1	172.077353014	172.595775391	0.000	8039.400
2	Waveform 1	1	172.629439182	172.988519617	0.000	7921.200
2	Spectrogram 1	1	172.629439182	172.988519617	0.000	7921.200
3	Waveform 1	1	173.004229386	173.565292565	0.000	7566.500
3	Spectrogram 1	1	173.004229386	173.565292565	0.000	7566.500
4	Waveform 1	1	176.111925009	176.491880058	0.000	7211.800
4	Spectrogram 1	1	176.111925009	176.491880058	0.000	7211.800
5	Waveform 1	1	177.685642956	177.838252140	0.000	6975.400
5	Spectrogram 1	1	177.685642956	177.838252140	0.000	6975.400
6	Waveform 1	1	179.049057425	179.369985564	0.000	7566.500
6	Spectrogram 1	1	179.049057425	179.369985564	0.000	7566.500
7	Waveform 1	1	242.214005130	242.608429725	0.000	16684.932
7	Spectrogram 1	1	242.214005130	242.608429725	0.000	16684.932
