Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)
1	Waveform 1	1	11.432435570	11.791080917	0.000	5444.400
1	Spectrogram 1	1	11.432435570	11.791080917	0.000	5444.400
2	Waveform 1	1	134.450310255	135.126340865	0.000	9333.300
2	Spectrogram 1	1	134.450310255	135.126340865	0.000	9333.300
3	Waveform 1	1	136.266825131	136.723859910	0.000	8888.900
3	Spectrogram 1	1	136.266825131	136.723859910	0.000	8888.900
4	Waveform 1	1	136.746076879	137.307848794	0.000	8888.900
4	Spectrogram 1	1	136.746076879	137.307848794	0.000	8888.900
5	Waveform 1	1	137.336413468	137.777578984	0.000	8888.900
5	Spectrogram 1	1	137.336413468	137.777578984	0.000	8888.900
