Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)
1	Waveform 1	1	63.403170992	63.692679592	0.000	21123.288
1	Spectrogram 1	1	63.403170992	63.692679592	0.000	21123.288
2	Waveform 1	1	63.942452426	64.155656434	0.000	17187.100
2	Spectrogram 1	1	63.942452426	64.155656434	0.000	17187.100
3	Waveform 1	1	86.793747852	87.148339782	0.000	10374.200
3	Spectrogram 1	1	86.793747852	87.148339782	0.000	10374.200
4	Waveform 1	1	96.122884178	96.363019218	0.000	18658.100
4	Spectrogram 1	1	96.122884178	96.363019218	0.000	18658.100
6	Waveform 1	1	197.224336965	197.502366898	0.000	12696.800
6	Spectrogram 1	1	197.224336965	197.502366898	0.000	12696.800
7	Waveform 1	1	201.171622492	202.010973009	0.000	13548.400
7	Spectrogram 1	1	201.171622492	202.010973009	0.000	13548.400
8	Waveform 1	1	248.940726185	249.268387082	0.000	11458.100
8	Spectrogram 1	1	248.940726185	249.268387082	0.000	11458.100
9	Waveform 1	1	257.480329467	257.864529626	0.000	14787.100
9	Spectrogram 1	1	257.480329467	257.864529626	0.000	14787.100
