Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)
1	Waveform 1	1	62.159606590	62.460336455	0.000	13655.200
1	Spectrogram 1	1	62.159606590	62.460336455	0.000	13655.200
2	Waveform 1	1	208.825819118	209.045755884	0.000	10510.300
2	Spectrogram 1	1	208.825819118	209.045755884	0.000	10510.300
3	Waveform 1	1	209.768644647	210.089572786	0.000	12413.800
3	Spectrogram 1	1	209.768644647	210.089572786	0.000	12413.800
4	Waveform 1	1	210.100794050	210.349906101	0.000	13489.700
4	Spectrogram 1	1	210.100794050	210.349906101	0.000	13489.700
5	Waveform 1	1	210.363371618	210.610239417	0.000	15863.014
5	Spectrogram 1	1	210.363371618	210.610239417	0.000	15863.014
6	Waveform 1	1	239.613408215	239.860276014	0.000	12413.800
6	Spectrogram 1	1	239.613408215	239.860276014	0.000	12413.800
