Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)
1	Spectrogram 1	1	27.285335398	27.630950316	0	7318.4
2	Spectrogram 1	1	27.841910072	28.064091091	0	6780.3
3	Spectrogram 1	1	28.144884188	28.423171525	0	5596.4
4	Spectrogram 1	1	35.493441051	35.830078959	0	8179.4
6	Spectrogram 1	1	66.168822016	66.424666826	0	6995.5
12	Spectrogram 1	1	274.794907146	274.974447363	0	2798.2
13	Spectrogram 1	1	281.491224751	281.800931626	0	7103.1
14	Spectrogram 1	1	1.496272173	1.784314232	0	6357.29
15	Spectrogram 1	1	28.822960812	29.054940994	0	6751.54
16	Spectrogram 1	1	29.25019098	29.486037499	0	6455.852
17	Spectrogram 1	1	66.832232008	67.166670103	0	7589.322
