Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)
1	Spectrogram 1	1	8.754367848	8.939951994	0	5596.8
2	Spectrogram 1	1	32.571478773	32.791859945	0	6213.4
3	Spectrogram 1	1	34.257511114	34.561018518	0	3984.2
4	Spectrogram 1	1	36.308536491	36.774430023	0	5739.1
5	Spectrogram 1	1	39.106781954	39.375492332	0	8585
6	Spectrogram 1	1	61.675830763	62.085662417	0	4932.8
7	Spectrogram 1	1	68.944456399	69.31562469	0	4980.2
8	Spectrogram 1	1	83.83563457	84.137208806	0	8253
9	Spectrogram 1	1	84.676562729	85.115391907	0	13280.6
10	Spectrogram 1	1	88.889222154	89.123135505	0	13565.2
11	Spectrogram 1	1	173.697566112	174.010739358	0	5881.4
12	Spectrogram 1	1	290.616763825	290.852610344	0	6166
