Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)
4	Spectrogram 1	1	87.658105091	87.999952608	0	8490.566
6	Spectrogram 1	1	292.713439616	292.865158458	0	10981.132
7	Spectrogram 1	1	287.036344939	287.253360498	0	6679.245
8	Spectrogram 1	1	263.972552045	264.368173329	0	13245.283
9	Spectrogram 1	1	265.063390121	265.397555671	0	8716.981
10	Spectrogram 1	1	257.173856595	257.488817229	0	6283.019
11	Spectrogram 1	1	258.516280272	258.641112231	0	21735.849
12	Spectrogram 1	1	259.071302365	259.165406456	0	13754.717
13	Spectrogram 1	1	255.942778822	256.155953397	0	11830.189
14	Spectrogram 1	1	241.970851627	242.270448328	0	5943.396
15	Spectrogram 1	1	230.979599412	231.263832179	113.208	24000
16	Spectrogram 1	1	222.703971766	222.8345652	0	6283.019
17	Spectrogram 1	1	223.059262725	223.216743042	0	7584.906
18	Spectrogram 1	1	221.205954841	221.536279408	0	11830.189
19	Spectrogram 1	1	207.439511065	207.694936458	0	12735.849
20	Spectrogram 1	1	200.645610997	201.222718744	0	7132.075
21	Spectrogram 1	1	200.427635193	200.61968436	0	7584.906
22	Spectrogram 1	1	183.70932099	183.99739474	0	12339.623
23	Spectrogram 1	1	184.103021782	184.437187333	0	12735.849
24	Spectrogram 1	1	182.163289319	182.72791387	0	11886.792
25	Spectrogram 1	1	182.77400567	183.160024496	0	12396.226
26	Spectrogram 1	1	179.451483174	180.054517559	0	24000
27	Spectrogram 1	1	180.402126551	181.003240444	0	16245.283
28	Spectrogram 1	1	175.875431181	176.042513956	0	14603.774
29	Spectrogram 1	1	166.28617376	166.645305703	0	11207.547
30	Spectrogram 1	1	154.820519683	155.014489342	169.811	9113.208
31	Spectrogram 1	1	142.129603123	142.603964565	56.604	6679.245
