Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)
1	Spectrogram 1	1	43.018212403	43.494290298	0	10075.5
2	Spectrogram 1	1	44.207898151	44.336439183	0	6226.4
3	Spectrogram 1	1	47.843615287	48.157826697	0	5886.8
5	Spectrogram 1	1	59.997599763	60.232464857	0	6679.2
6	Spectrogram 1	1	64.47547477	64.748426096	0	7018.9
7	Spectrogram 1	1	66.301002979	66.61045361	0	6226.4
8	Spectrogram 1	1	94.952483689	95.079437794	0	8264.2
11	Spectrogram 1	1	107.677246647	107.996218836	0	5207.5
12	Spectrogram 1	1	65.163131542	65.474251193	0	10144.928
