Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)
1	Spectrogram 1	1	3.745304226	4.032568574	0	12637.2
2	Spectrogram 1	1	4.400626019	4.723798411	0	7752.2
3	Spectrogram 1	1	5.377355148	5.691550529	0	7115
4	Spectrogram 1	1	28.455325197	29.142066528	0	7539.8
5	Spectrogram 1	1	29.254279164	29.595405577	0	5734.5
6	Spectrogram 1	1	29.945509001	30.232773349	0	7858.4
7	Spectrogram 1	1	55.743816071	56.004149387	0	6265.5
8	Spectrogram 1	1	56.2218419	56.488907974	0	6796.5
9	Spectrogram 1	1	168.142619321	168.360311835	0	7646
