Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)
1	Spectrogram 1	1	121.397557376	121.578466976	0	18486.5
2	Spectrogram 1	1	121.6874499	121.76520929	0	17081.1
3	Spectrogram 1	1	124.177906238	124.393728217	0	3135.1
4	Spectrogram 1	1	130.755847706	131.139883875	0	4108.1
5	Spectrogram 1	1	242.982926016	243.366962185	0	5405.4
6	Spectrogram 1	1	277.732023004	278.012908962	0	20648.6
8	Spectrogram 1	1	224.404436235	224.819622987	0	14882.682
9	Spectrogram 1	1	226.053961982	226.43997345	0	13005.587
10	Spectrogram 1	1	221.503886297	221.730555822	0	5229.05
11	Spectrogram 1	1	153.425378216	153.631849466	0	8178.771
12	Spectrogram 1	1	132.338131586	132.807180404	0	7374.302
13	Spectrogram 1	1	132.813913162	133.033849929	0	7374.302
