Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)
1	Spectrogram 1	1	46.46136991	47.023141826	0	5818.2
2	Spectrogram 1	1	47.4135257	47.949906794	0	5212.1
3	Spectrogram 1	1	64.354313241	65.062082377	0	7515.2
4	Spectrogram 1	1	79.548396465	79.964171159	0	6424.2
5	Spectrogram 1	1	80.586246275	80.932196212	0	7878.8
6	Spectrogram 1	1	126.641400954	126.977829332	0	6545.5
7	Spectrogram 1	1	188.847015642	189.154879347	0	6545.5
8	Spectrogram 1	1	235.36032916	235.636454339	0	4969.7
