Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)
1	Spectrogram 1	1	141.944442311	142.325304626	0	8603.8
2	Spectrogram 1	1	151.626472425	151.931162277	0	6679.2
3	Spectrogram 1	1	181.886605202	182.15003497	0	6339.6
4	Spectrogram 1	1	182.467420233	182.908585749	0	5773.6
5	Spectrogram 1	1	183.029192149	183.238666423	0	10641.5
6	Spectrogram 1	1	183.467183812	183.752830549	0	7698.1
7	Spectrogram 1	1	183.762352107	183.924218591	0	7132.1
8	Spectrogram 1	1	207.802662316	208.088309053	0	10415.1
