Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)
1	Waveform 1	1	29.206541041	30.209722005	0.000	5217.400
1	Spectrogram 1	1	29.206541041	30.209722005	0.000	5217.400
2	Waveform 1	1	46.017459026	46.223930276	0.000	2550.700
2	Spectrogram 1	1	46.017459026	46.223930276	0.000	2550.700
3	Waveform 1	1	46.353228554	46.580766458	0.000	3130.400
3	Spectrogram 1	1	46.353228554	46.580766458	0.000	3130.400
4	Waveform 1	1	60.037680428	60.311422871	0.000	7072.500
4	Spectrogram 1	1	60.037680428	60.311422871	0.000	7072.500
5	Waveform 1	1	87.844111483	88.135514729	0.000	5217.400
5	Spectrogram 1	1	87.844111483	88.135514729	0.000	5217.400
6	Waveform 1	1	88.491476893	88.702436649	0.000	5101.400
6	Spectrogram 1	1	88.491476893	88.702436649	0.000	5101.400
