Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)
1	Spectrogram 1	1	77.567521025	77.788377567	0	16814.4
2	Spectrogram 1	1	78.785112744	79.061663544	0	12646.7
3	Spectrogram 1	1	78.0188359	78.76590716	0	7808.4
4	Spectrogram 1	1	79.935892899	80.323832216	0	18347.3
5	Spectrogram 1	1	81.155405109	81.698904252	0	16718.6
6	Spectrogram 1	1	82.104126698	82.62457994	0	6515
7	Spectrogram 1	1	122.400659699	122.68873345	0	17772.5
8	Spectrogram 1	1	155.549579713	155.84533543	0	6850.3
9	Spectrogram 1	1	165.161318377	165.33800361	0	6658.7
10	Spectrogram 1	1	175.500787759	175.760054134	0	12024
11	Spectrogram 1	1	180.188064701	180.433887634	0	8143.7
12	Spectrogram 1	1	294.524405689	294.843207306	0	12982
13	Spectrogram 1	1	294.847048289	295.017972048	0	12838.3
14	Spectrogram 1	1	295.531507267	296.107654768	0	10107.8
15	Spectrogram 1	1	296.115336734	296.681881777	0	12503
