Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)
1	Spectrogram 1	1	7.871827271	8.221356755	0	19911.1
2	Spectrogram 1	1	9.383831528	9.620052003	0	23333.3
3	Spectrogram 1	1	37.472900269	37.845475653	0	20977.8
4	Spectrogram 1	1	38.143151862	38.642479696	0	18622.2
5	Spectrogram 1	1	50.085291529	50.434821013	0	7511.1
6	Spectrogram 1	1	50.77666853	51.030173431	0	10666.7
7	Spectrogram 1	1	51.287519315	51.52373979	0	12355.6
8	Spectrogram 1	1	51.585195523	51.825256982	0	11866.7
9	Spectrogram 1	1	58.768035701	58.97352831	0	7600
10	Spectrogram 1	1	59.00809716	59.28464796	0	14800
11	Spectrogram 1	1	76.642385496	77.03800678	0	19200
12	Spectrogram 1	1	93.697492975	94.185297859	0	9511.1
13	Spectrogram 1	1	94.945811745	95.521959246	0	12977.8
14	Spectrogram 1	1	95.723610871	96.061617405	0	11111.1
15	Spectrogram 1	1	96.117311664	96.463000164	0	8444.4
16	Spectrogram 1	1	96.691537377	97.321458644	0	11155.6
17	Spectrogram 1	1	97.682927081	98.259074582	0	16711.1
18	Spectrogram 1	1	98.437680307	99.019589283	0	17466.7
