Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)
1	Spectrogram 1	1	1.544075303	1.937776095	0	12733.6
2	Spectrogram 1	1	2.152201578	2.561266303	0	10323.1
3	Spectrogram 1	1	88.654614455	88.938847222	0	6288.2
4	Spectrogram 1	1	89.927899839	90.233258015	0	8279.5
5	Spectrogram 1	1	90.277429323	90.555900615	0	8803.5
6	Spectrogram 1	1	90.651924199	90.920793032	0	15091.7
7	Spectrogram 1	1	91.109001216	91.623692984	0	12314.4
8	Spectrogram 1	1	91.669784117	91.927130001	0	6602.6
9	Spectrogram 1	1	92.284340414	92.551288756	0	6759.8
10	Spectrogram 1	1	92.83168054	93.129356749	0	7545.9
11	Spectrogram 1	1	94.010477992	94.715298434	0	22637.6
12	Spectrogram 1	1	99.12112312	99.39767392	0	6026.2
13	Spectrogram 1	1	113.642396733	114.009210642	0	9589.5
14	Spectrogram 1	1	133.439046231	133.569639665	0	20541.5
15	Spectrogram 1	1	142.219214407	142.603312741	0	7126.6
16	Spectrogram 1	1	218.707407583	219.089585425	0	15930.1
