Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)
1	Spectrogram 1	1	0.038409833	0.289994242	0	9991.8
2	Spectrogram 1	1	0.395621284	0.664490118	0	8179.6
3	Spectrogram 1	1	0.704820443	0.973689277	0	12685.7
4	Spectrogram 1	1	0.998655668	1.330900727	0	20277.6
5	Spectrogram 1	1	1.336662202	1.630497428	0	19689.8
6	Spectrogram 1	1	1.743806436	2.033800678	0	9991.8
7	Spectrogram 1	1	2.045323628	2.314192462	0	12342.9
8	Spectrogram 1	1	3.094004176	3.383998418	0	17093.9
9	Spectrogram 1	1	3.441613168	3.762335277	0	21844.9
10	Spectrogram 1	1	48.237646102	48.594857552	0	5191.8
11	Spectrogram 1	1	62.025367675	62.324964375	0	13763.3
12	Spectrogram 1	1	63.469577411	63.688513461	0	17240.8
13	Spectrogram 1	1	119.010129398	119.27707774	0	5779.6
14	Spectrogram 1	1	123.266053459	123.671277201	0	17485.7
15	Spectrogram 1	1	128.436046817	128.718359092	0	18220.4
16	Spectrogram 1	1	136.193991237	136.485905971	0	22285.7
17	Spectrogram 1	1	136.925698564	137.165760022	0	23216.3
18	Spectrogram 1	1	138.437670013	138.746869172	0	14791.8
19	Spectrogram 1	1	139.082955214	139.313414215	0	14546.9
20	Spectrogram 1	1	160.928648549	161.166789516	0	6955.1
21	Spectrogram 1	1	168.86332898	169.328087964	0	24000
22	Spectrogram 1	1	174.692599216	175.032526241	0	6465.3
23	Spectrogram 1	1	191.242273777	191.678225386	0	6661.2
24	Spectrogram 1	1	192.361701441	192.857188292	0	24000
25	Spectrogram 1	1	193.872921077	194.13986942	0	5485.7
26	Spectrogram 1	1	281.807575981	282.038034982	0	24000
