Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)
4	Spectrogram 1	1	45.180698144	45.547512052	0	6363.6
5	Spectrogram 1	1	58.287079342	58.844021926	0	8818.2
6	Spectrogram 1	1	59.481624012	59.715923996	0	18681.8
7	Spectrogram 1	1	60.562860822	60.799081298	0	14454.5
8	Spectrogram 1	1	61.087154011	61.448206445	0	10000
9	Spectrogram 1	1	61.473172837	61.853430187	0	4909.1
10	Spectrogram 1	1	83.639980191	83.826267883	0	5227.3
11	Spectrogram 1	1	84.231491626	84.529167834	0	5909.1
12	Spectrogram 1	1	84.665521965	84.990085057	0	5772.7
13	Spectrogram 1	1	85.89079365	86.292176409	0	6272.7
14	Spectrogram 1	1	86.720446052	87.208250936	0	8818.2
15	Spectrogram 1	1	88.227070074	88.64765775	0	3545.5
16	Spectrogram 1	1	91.804929234	92.296575102	0	7227.3
17	Spectrogram 1	1	93.139669834	93.410459159	0	6090.9
18	Spectrogram 1	1	92.897687883	93.1243059	0	6454.5
19	Spectrogram 1	1	95.39389842	95.987330346	0	6409.1
20	Spectrogram 1	1	96.183220496	96.559636863	0	19818.2
21	Spectrogram 1	1	96.73055914	97.435379583	0	20090.9
22	Spectrogram 1	1	99.480700507	99.895526708	0	6454.5
23	Spectrogram 1	1	104.873379656	105.186419798	0	24000
24	Spectrogram 1	1	107.852874455	108.098697389	0	23636.4
25	Spectrogram 1	1	115.527243497	115.757702497	0	10681.8
26	Spectrogram 1	1	116.596006047	116.926330614	0	6272.7
27	Spectrogram 1	1	116.935933073	117.239370756	0	6636.4
28	Spectrogram 1	1	117.248973215	117.70412974	0	22909.1
29	Spectrogram 1	1	118.616361172	118.927480823	0	12318.2
30	Spectrogram 1	1	117.834721063	118.191932513	0	6500
31	Spectrogram 1	1	119.175224248	119.505548815	90.9	8909.1
32	Spectrogram 1	1	120.830686623	121.226307907	0	5090.9
33	Spectrogram 1	1	154.78923408	155.017772589	0	10818.2
34	Spectrogram 1	1	201.816054839	202.142538423	0	6000
35	Spectrogram 1	1	264.766171826	265.121462785	0	13454.5
36	Spectrogram 1	1	265.83808693	266.272118048	0	10954.5
