Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)
1	Spectrogram 1	1	10.92607938	11.242960506	0	8986.8
2	Spectrogram 1	1	13.003090121	13.43904173	0	7189.4
3	Spectrogram 1	1	16.710079205	17.082654589	0	6026.4
4	Spectrogram 1	1	17.276624248	17.633835698	0	7612.3
5	Spectrogram 1	1	17.639597173	17.885420107	0	5286.3
6	Spectrogram 1	1	17.893101081	18.384746948	0	5762.1
7	Spectrogram 1	1	18.402031373	18.816857574	0	5497.8
8	Spectrogram 1	1	27.83467084	28.222610157	0	22202.6
9	Spectrogram 1	1	26.557543879	26.84561763	0	5180.6
10	Spectrogram 1	1	26.964688113	27.266205305	0	4652
11	Spectrogram 1	1	47.88105509	48.172969824	0	24000
12	Spectrogram 1	1	60.236340323	60.466799323	0	4493.4
13	Spectrogram 1	1	211.853237261	212.106742162	0	6132.2
14	Spectrogram 1	1	233.405215855	233.65295928	0	11735.7
15	Spectrogram 1	1	233.76818878	234.037057614	0	10784.1
16	Spectrogram 1	1	235.44285659	235.917218033	0	6343.6
17	Spectrogram 1	1	245.310283403	245.592595679	0	3224.7
