Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)
1	Spectrogram 1	1	1.920910836	2.18977967	49.5	5690.7
2	Spectrogram 1	1	25.965198156	26.443400582	0	6532
3	Spectrogram 1	1	26.45300304	26.935046449	0	5740.2
4	Spectrogram 1	1	26.960012841	27.376759534	0	5839.2
5	Spectrogram 1	1	28.425346578	28.849775237	0	6828.9
6	Spectrogram 1	1	30.446398941	30.688380892	0	5888.7
7	Spectrogram 1	1	30.749835217	31.266447477	0	6532
8	Spectrogram 1	1	33.410669277	33.819734003	0	23208.2
9	Spectrogram 1	1	37.097050977	37.387045219	0	5888.7
10	Spectrogram 1	1	43.495666363	43.693477005	0	6086.6
11	Spectrogram 1	1	51.0047338	51.31585345	0	5938.1
12	Spectrogram 1	1	51.569356832	51.947693691	0	5839.2
13	Spectrogram 1	1	52.445101033	52.825358384	0	6334
14	Spectrogram 1	1	53.968584371	54.187520421	0	5641.2
15	Spectrogram 1	1	54.709894155	54.974922006	0	5393.8
16	Spectrogram 1	1	77.571026984	78.156776944	0	6136.1
17	Spectrogram 1	1	92.621352893	92.895983202	0	5294.8
18	Spectrogram 1	1	93.144686873	93.340577024	0	3414.4
19	Spectrogram 1	1	116.487306907	116.735050332	0	5096.9
20	Spectrogram 1	1	121.49137543	121.681504106	99	4899
21	Spectrogram 1	1	168.984527467	169.209224993	0	6828.9
22	Spectrogram 1	1	192.254041385	192.496023335	0	22317.5
23	Spectrogram 1	1	211.904276766	212.213475924	0	17468
