Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)
1	Spectrogram 1	1	65.7940603	66.072531592	0	14815.4
2	Spectrogram 1	1	66.433584026	66.650599584	0	19107.7
3	Spectrogram 1	1	120.958802862	121.394754471	0	9046.2
4	Spectrogram 1	1	164.694290948	165.005410598	0	6184.6
5	Spectrogram 1	1	165.543147303	165.76976532	0	14584.6
6	Spectrogram 1	1	166.111612837	166.397766096	0	14861.5
7	Spectrogram 1	1	166.795307872	166.979675072	0	14676.9
8	Spectrogram 1	1	244.085614152	244.398654294	0	6092.3
