Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)
1	Spectrogram 1	1	5.997472728	6.335479262	0	24000
2	Spectrogram 1	1	6.89626283	7.111357897	0	23499
3	Spectrogram 1	1	16.496717304	16.763665646	0	6914.4
4	Spectrogram 1	1	16.782870563	17.261072989	0	5862.2
5	Spectrogram 1	1	17.433917239	17.758480331	0	6363.3
6	Spectrogram 1	1	19.632876875	19.746185884	0	23298.5
7	Spectrogram 1	1	24.127166272	24.351863798	0	24000
8	Spectrogram 1	1	24.547753948	24.868476057	0	23899.8
9	Spectrogram 1	1	22.16634687	22.310383746	0	21695.2
11	Spectrogram 1	1	66.298717006	66.567585839	0	12125.3
12	Spectrogram 1	1	67.134009102	67.381752528	0	5711.9
13	Spectrogram 1	1	76.731847319	76.950783369	0	23499
15	Spectrogram 1	1	138.888827659	139.113525184	0	5311.1
16	Spectrogram 1	1	143.423045665	143.569003031	0	6062.6
17	Spectrogram 1	1	216.597514083	217.006578808	0	6012.5
