Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)
1	Spectrogram 1	1	1.26560401	1.592087594	0	5517.2
2	Spectrogram 1	1	1.933935112	2.210485912	0	6252.9
3	Spectrogram 1	1	34.248634347	34.602004814	0	7632.2
4	Spectrogram 1	1	35.10325314	35.364440007	0	8000
5	Spectrogram 1	1	55.753763507	56.078326599	0	12321.8
6	Spectrogram 1	1	56.230045441	56.727452784	0	7586.2
7	Spectrogram 1	1	57.305398437	57.555062354	0	8505.7
8	Spectrogram 1	1	58.304054105	58.972385206	0	8137.9
9	Spectrogram 1	1	76.93371839	77.287088857	0	5149.4
10	Spectrogram 1	1	234.82488962	235.109122388	0	9747.1
11	Spectrogram 1	1	235.581563338	235.842750206	0	12137.9
12	Spectrogram 1	1	236.378745212	236.709069779	0	9701.1
13	Spectrogram 1	1	237.398525215	237.859443215	0	8919.5
14	Spectrogram 1	1	238.208971514	238.827369832	0	11770.1
15	Spectrogram 1	1	238.946440315	239.420801758	0	11218.4
16	Spectrogram 1	1	239.734466276	240.174258869	0	12321.8
17	Spectrogram 1	1	240.398956394	241.080730937	0	10160.9
18	Spectrogram 1	1	243.31137859	243.791501507	0	6252.9
19	Spectrogram 1	1	244.267783441	244.922671101	0	6344.8
20	Spectrogram 1	1	246.356676743	246.708126718	0	4781.6
21	Spectrogram 1	1	246.857925068	247.268910286	0	7172.4
22	Spectrogram 1	1	247.727907795	248.117767604	0	11816.1
23	Spectrogram 1	1	278.524950914	278.770773848	0	7724.1
24	Spectrogram 1	1	279.30275004	279.700291816	0	11402.3
25	Spectrogram 1	1	282.398420789	282.646164214	0	10620.7
26	Spectrogram 1	1	284.222884438	284.622346705	0	6712.6
27	Spectrogram 1	1	284.843203247	285.292598298	0	8092
28	Spectrogram 1	1	288.113180573	288.33979859	0	20919.5
