Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)
1	Spectrogram 1	1	0.624159793	1.052429435	0	7247.3
2	Spectrogram 1	1	1.75917037	2.074131003	0	5619.3
3	Spectrogram 1	1	2.353272057	2.821872024	0	5671.8
4	Spectrogram 1	1	2.854520383	3.00047775	0	12131.3
5	Spectrogram 1	1	3.436429359	3.759071959	0	24000
6	Spectrogram 1	1	3.991446501	4.460046469	0	23947.5
7	Spectrogram 1	1	4.508058761	4.671300553	0	24000
8	Spectrogram 1	1	29.316086531	29.623365198	0	6249.5
9	Spectrogram 1	1	59.81867048	60.164358981	0	6407
10	Spectrogram 1	1	60.4562729	60.826927792	0	13391.7
11	Spectrogram 1	1	61.301288531	61.637374573	0	11868.7
12	Spectrogram 1	1	62.816554902	63.143038486	0	4831.5
13	Spectrogram 1	1	107.865363814	108.218734281	0	24000
14	Spectrogram 1	1	108.234098215	108.499126065	0	20691.5
15	Spectrogram 1	1	181.154659907	181.730807408	0	8560.2
16	Spectrogram 1	1	267.799227326	268.089221568	0	3098.5
17	Spectrogram 1	1	284.298028941	284.6072281	0	7037.2
