Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)
1	Spectrogram 1	1	2.436738676	3.030170602	0	6661.2
2	Spectrogram 1	1	56.019609026	56.315364744	0	10138.8
3	Spectrogram 1	1	56.624563902	56.910717161	0	9746.9
4	Spectrogram 1	1	70.914688311	71.175875179	0	5142.9
5	Spectrogram 1	1	71.473551387	71.657918588	0	5779.6
6	Spectrogram 1	1	78.509769998	78.751751948	0	6514.3
7	Spectrogram 1	1	96.871536464	97.364142577	0	8473.5
8	Spectrogram 1	1	108.314411722	108.596723998	0	22775.5
9	Spectrogram 1	1	123.59281138	123.896249064	0	9844.9
10	Spectrogram 1	1	139.14303467	139.352368262	0	6416.3
11	Spectrogram 1	1	157.054034871	157.382438946	0	6269.4
12	Spectrogram 1	1	157.392041405	157.58217008	0	22579.6
13	Spectrogram 1	1	157.870243164	158.52128984	0	6220.4
14	Spectrogram 1	1	196.621554683	196.786716966	0	21795.9
15	Spectrogram 1	1	196.90578745	197.157371859	0	7249
16	Spectrogram 1	1	219.957253097	220.254929306	0	6857.1
17	Spectrogram 1	1	237.846968491	238.142724208	0	5265.6
18	Spectrogram 1	1	263.842691133	264.038581283	0	18346.4
19	Spectrogram 1	1	286.036446446	286.487761988	0	11806
20	Spectrogram 1	1	286.796961147	287.232912756	0	13912.2
21	Spectrogram 1	1	288.673374779	288.913436238	0	2383.4
