Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)
2	Spectrogram 1	1	137.893148593	138.101930757	0	9421.8
3	Spectrogram 1	1	138.206321839	138.455700534	0	5729.4
4	Spectrogram 1	1	138.60842082	138.799804471	0	5984.1
5	Spectrogram 1	1	139.507234453	139.859071062	0	8148.5
6	Spectrogram 1	1	140.007247585	140.158034703	0	6047.7
7	Spectrogram 1	1	140.478940622	140.65099259	0	6366
8	Spectrogram 1	1	177.142056312	177.377902831	0	7511.9
9	Spectrogram 1	1	175.504661604	175.815901681	0	13368.7
10	Spectrogram 1	1	260.475191637	260.656909446	0	21198.9
11	Spectrogram 1	1	262.129983601	262.340698933	0	13177.7
12	Spectrogram 1	1	262.695856812	262.896906303	0	5029.2
13	Spectrogram 1	1	263.345401322	263.616044867	0	6238.7
