Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)
1	Spectrogram 1	1	80.842030172	81.103007877	0	4690.9
2	Spectrogram 1	1	159.077475527	159.290124027	0	5618.2
3	Spectrogram 1	1	165.100721817	165.437093081	0	6872.7
4	Spectrogram 1	1	166.337949454	166.53319944	0	7309.1
5	Spectrogram 1	1	166.813509592	167.105417988	0	5836.4
6	Spectrogram 1	1	196.035703985	196.143961404	0	7200
7	Spectrogram 1	1	228.944047802	229.156696302	0	6000
8	Spectrogram 1	1	165.737506502	165.942999111	0	5776.805
