Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)
1	Spectrogram 1	1	0.5363764	0.727137881	0	6000
2	Spectrogram 1	1	36.288150405	36.959181968	0	11318.2
3	Spectrogram 1	1	138.568745047	138.851520889	0	13090.9
4	Spectrogram 1	1	261.102854628	261.372164954	0	11045.5
5	Spectrogram 1	1	261.892831584	262.281087305	0	14181.8
6	Spectrogram 1	1	285.878623199	286.43295362	0	10636.4
7	Spectrogram 1	1	286.63942487	286.931177724	0	10772.7
8	Spectrogram 1	1	293.34340693	293.680044838	0	13090.9
