Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)
1	Spectrogram 1	1	22.098308662	22.227353194	0	14464.3
2	Spectrogram 1	1	25.810160228	25.902174589	0	15321.4
3	Spectrogram 1	1	37.84727336	38.089652653	0	7714.3
4	Spectrogram 1	1	40.892795244	41.011880825	0	11571.4
6	Spectrogram 1	1	44.425104349	44.513752332	0	12321.4
7	Spectrogram 1	1	45.623573017	45.74588479	0	21428.6
8	Spectrogram 1	1	46.8945	47.102117778	0	10928.6
9	Spectrogram 1	1	51.683197248	51.909866773	0	13607.1
10	Spectrogram 1	1	66.698922463	66.824600616	0	14142.9
11	Spectrogram 1	1	143.821091505	143.955746668	0	13392.9
12	Spectrogram 1	1	176.304996303	176.622313403	0	8142.9
13	Spectrogram 1	1	177.434289235	177.619440084	0	14142.9
14	Spectrogram 1	1	217.525408331	217.942839336	0	4285.7
15	Spectrogram 1	1	177.085151895	177.377066629	0	6467.706
16	Spectrogram 1	1	218.780791794	218.886418835	0	10530.067
