Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)
1	Spectrogram 1	1	26.473109888	26.715909615	0	7647.1
2	Spectrogram 1	1	28.914295314	29.044423272	0	9411.8
3	Spectrogram 1	1	91.910824951	92.06634373	0	16000
4	Spectrogram 1	1	140.964769509	141.275807066	0	12352.9
5	Spectrogram 1	1	162.078201831	162.217851347	0	11764.7
6	Spectrogram 1	1	164.132253432	164.321097663	0	9058.8
7	Spectrogram 1	1	25.607377033	25.778300792	0	6601.399
8	Spectrogram 1	1	140.657449795	140.853339945	0	3972.028
9	Spectrogram 1	1	162.445702798	162.662718357	0	8000
