Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)
5	Spectrogram 1	1	76.715719423	76.962587222	0	9888
6	Spectrogram 1	1	77.208332758	77.362064069	0	9120
7	Spectrogram 1	1	77.809590462	78.160816013	0	13056
8	Spectrogram 1	1	78.872627826	79.04094678	0	9984
9	Spectrogram 1	1	152.516648041	152.860018706	0	11040
10	Spectrogram 1	1	207.225624396	207.64642178	0	8544
11	Spectrogram 1	1	260.129741811	260.32723605	0	10560
12	Spectrogram 1	1	288.41426792	288.721730542	0	8736
13	Spectrogram 1	1	206.400878078	206.946297712	0	9588.235
