Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)
1	Spectrogram 1	1	113.399309561	113.623734832	0	7572.8
2	Spectrogram 1	1	114.620183039	114.889493365	0	10019.4
3	Spectrogram 1	1	174.624402347	174.9161552	0	16310.7
4	Spectrogram 1	1	175.4525316	175.939534439	0	8504.9
5	Spectrogram 1	1	176.993481422	177.242593473	0	9320.4
6	Spectrogram 1	1	234.28989898	234.543499537	0	5359.2
7	Spectrogram 1	1	291.433964757	291.887303806	0	10368.9
8	Spectrogram 1	1	291.941165871	292.383283657	0	9553.4
9	Spectrogram 1	1	292.680678085	293.183390694	0	9436.9
10	Spectrogram 1	1	294.340333913	294.605155734	0	8038.8
11	Spectrogram 1	1	294.754864388	295.030907472	0	15844.7
12	Spectrogram 1	1	295.05335	295.311439062	0	14446.6
13	Spectrogram 1	1	295.605436168	295.841082703	0	8155.3
