Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)
1	Spectrogram 1	1	150.843742403	151.216288354	0	7536.2
2	Spectrogram 1	1	170.710106317	171.053476983	0	8231.9
3	Spectrogram 1	1	219.548627373	219.806716436	0	10898.6
4	Spectrogram 1	1	221.229915897	221.492493465	115.9	12637.7
5	Spectrogram 1	1	250.002515124	250.307733494	0	5797.1
6	Spectrogram 1	1	289.561761199	289.810873251	0	10434.8
7	Spectrogram 1	1	290.05774105	290.237281267	0	11014.5
8	Spectrogram 1	1	298.440228625	298.707294699	0	8695.7
9	Spectrogram 1	1	299.091061914	299.284067647	0	8463.8
